text,text_clean,label
"**SPOILERS** I rented ""Tesis"" (or ""Thesis"" in English) on the strength of director Alejandro Amenabar's later effort ""The Others"". Based on what a brilliantly measured and horrifyingly effective creepfest that film was, I assumed his earlier efforts would be of a similar quality and I was in the mood for some good horror. Instead I wound up with the most tedious, preposterous excuse for a lame-brained slasher movie I've seen since the German film ""Anatomie"" (which this one kinda reminded me of).<br /><br />The plot has potential but it's thrown away within the first 20 minutes. It revolves around innocent-n-pretty psychology student Angela's (Ana Torrent - a Jessica Harper deadringer) thesis on the subject of violence in films. Through some far-fetched circumstances too dumb to go into here, she winds up in possession of a 'snuff' tape on which two men torture, mutilate and kill a young girl for the camera. Angela, and her horror-buff friend Chema (Fele Martinez) are both shocked yet intrigued by the tape and decide to get to the bottom of who's responsible for it.<br /><br />This leads to... well, nothing.<br /><br />They never really give a reason for why they want to find the girl's killers (since they resolutely refuse to contact the police throughout any of the unfolding events, even when their own lives at risk) and the mystery itself is as limp as Graham Norton in a room full of bunny girls. There is only one proper 'clue' (the type of camera the killers used is discovered) and that's a) a really weak one and b) wheeled out in the first 20 minutes. The rest of the so-called 'unravelling' just occurs through blind luck, increasingly ridiculous plot twists and a SLEW of awful, transparent and thoroughly pointless red herrings that are chucked in merely to pad out the running time.<br /><br />Seriously - Amenabar might know his stuff about ghost stories but he's clearly never read a detective book in his life. The key to a good whodunnit is to have a large cluster of potential suspects and to eliminate them one by one with clever deduction and the gradual discovery of more and more evidence, before moving in for the final twist. In ""Tesis"", *POTENTIAL SPOILER AHEAD* the killer's identity is guessed correctly by the amateur 'detectives' almost instantly and then we get 100 minutes of the writer trying feebly to throw us off the scent until he runs out of ideas, throws his hands up and says ""OK, ya got me, it was him after all""! As for any kind of logic or motive behind the crimes - no such luck. You're watching the wrong movie if that's what you're after.<br /><br />The only thing that drags ""Tesis"" down further from just being a dumb, badly written thriller is the way it actually tries to make some ludicrous, muddled-up 'point' about violence in films. I have no idea what stance it's attempting to take on the subject but it seems determined to cram in a ton of misguided, confused psychobabble, in between the rest of the gibberish, and say ""look at me! I'm political!"". The final scenes, in which the ""point"" of the movie is supposedly hammered home, are so utterly absurd and puerile, one can't help but wonder if Amenabar feels embarrassed now when he watches this. If he doesn't, he certainly should. This is total 'amateur night at the slasher house' stuff.<br /><br />Overall I can't believe I wasted two whole hours (it felt like at least six) on this, just hoping something might happen. The urban legend of 'snuff films' (and that is basically all they are, despite the way this film tries to suggest they're some kind of criminal phenomenon sweeping the world!) is an area that can be so tantalisingly exploited in good horror films (""Videodrome"" anyone?) but it's so easy to step over the line into childlike 'wouldn't it be cool if!' territory with it (ie: ""My Little Eye"")... ""Tesis"" hits an all-time low for the 'snuff movie' genre. On every level, this one is better left dead and buried. I'll award it a 1 out of 10, for some nice lighting, but that's all it's getting.",spoiler rented tesis thesis english strength director alejandro amenabar later effort others based brilliantly measured horrifyingly effective creepfest film assumed earlier effort would similar quality mood good horror instead wound tedious preposterous excuse lame brained slasher movie seen since german film anatomie one kinda reminded plot potential thrown away within first minute revolves around innocent pretty psychology student angela ana torrent jessica harper deadringer thesis subject violence film far fetched circumstance dumb go wind possession snuff tape two men torture mutilate kill young girl camera angela horror buff friend chema fele martinez shocked yet intrigued tape decide get bottom responsible lead well nothing never really give reason want find girl killer since resolutely refuse contact police throughout unfolding event even life risk mystery limp graham norton room full bunny girl one proper clue type camera killer used discovered really weak one wheeled first minute rest called unravelling occurs blind luck increasingly ridiculous plot twist slew awful transparent thoroughly pointless red herring chucked merely pad running time seriously amenabar might know stuff ghost story clearly never read detective book life key good whodunnit large cluster potential suspect eliminate one one clever deduction gradual discovery evidence moving final twist tesis potential spoiler ahead killer identity guessed correctly amateur detective almost instantly get minute writer trying feebly throw u scent run idea throw hand say ok ya got kind logic motive behind crime luck watching wrong movie thing drag tesis dumb badly written thriller way actually try make ludicrous muddled point violence film idea stance attempting take subject seems determined cram ton misguided confused psychobabble rest gibberish say look political final scene point movie supposedly hammered home utterly absurd puerile one help wonder amenabar feel embarrassed watch certainly total amateur night slasher house stuff overall believe wasted two whole hour felt like least six hoping something might happen urban legend snuff film basically despite way film try suggest kind criminal phenomenon sweeping world area tantalisingly exploited good horror film videodrome anyone easy step line childlike cool territory ie little eye tesis hit time low snuff movie genre every level one better left dead buried award nice lighting getting,0
"I saw this film at the Toronto Film Festival, where it received a standing ovation! This film tells a story that to my knowledge has never been told before--namely about the Rosenstrasse (a street in Berlin)uprising of German gentile women who were married to Jews at the end of the Second World War. As such, it is a unique story, and what's more, is the only film about the Holocaust that I have ever seen that shows that there were GOOD Germans (the helping family in ""Anne Frank"" for instance was Dutch) who did NOT support the Nazis, and, in fact, had the fortitude to stand up against their own country's immorality and brutality during the Nazi regime, at the risk of their very lives. The acting is great across the board, the framing story in New York interesting and intricate, the direction from Von Trotta masterful in every scene, and the production values, including the gorgeous cinematography, outstanding. Of course the family in New York could be speaking German. Many immigrants in this country choose to speak in their native tongue with their family--a common occurrence. So that criticism is unwarranted. To say more would spoil the experience. The film is long, but I did not look at my watch once. I am hoping this film gets some distribution is North America, for not only is this film a masterpiece, but it can actually help heal any animosity people have towards the Germans because of their support of Hitler. If this film is playing in your area, I URGE YOU TO SEE IT! You will be glad you did!",saw film toronto film festival received standing ovation film tell story knowledge never told namely rosenstrasse street berlin uprising german gentile woman married jew end second world war unique story film holocaust ever seen show good german helping family anne frank instance dutch support nazi fact fortitude stand country immorality brutality nazi regime risk life acting great across board framing story new york interesting intricate direction von trotta masterful every scene production value including gorgeous cinematography outstanding course family new york could speaking german many immigrant country choose speak native tongue family common occurrence criticism unwarranted say would spoil experience film long look watch hoping film get distribution north america film masterpiece actually help heal animosity people towards german support hitler film playing area urge see glad,1
"This was a crappy movie, with a whole lotta non-sense and too many loose-ends to count. I only watched this movie because one of my favorite actors (Ron Livingston) made a cameo in it, and I continued watching it because as a girl, I love any movie that includes male nudity for a change. Later, I found myself wondering just how much more ridiculous the storyline could get, and each time it got...more... ridiculous.<br /><br />Sean Crawley (good-looking Chris L. McKenna, whom I've never seen before - but LOVED his little nude scene)is making ends meet as a painter, when he meets electrician Duke Wayne (George Wendt from ""Cheers""). Thinking he's getting more work from Duke, Sean agrees to meet contractor Ray Matthews (Daniel Baldwin, playing a stereotypically evil guy). Ray is being investigated by a City Hall accountant (Ron Livingston in a cameo, who I've been in love with from ""Office Space"" up to ""Sex & the City""). Ray end up offering the apparently desperate-for- cash Sean $13k to kill the accountant, and Sean accepts the job. Sean stalks out the accountant, whose wife (Kari Wuhrer) he finds himself attracted to, completes the hit, and leaves - taking the file of information against Ray with him. Sean quickly learns he was being used, that Ray never intended to pay him, and Sean uses the file as leverage to get his money.<br /><br />Up to this point, it's a descent flick...generally worth watching. But as soon as Ray, Duke and their crew kidnap Sean to muscle the information about the file out of him, it just got dumber and dumber (and still DUMBER...), until finally it seemed like the film's writer, Charlie Higson, had snapped out of a 10-day writing hangover and realized he needed to desperately figure out how to wrap up the series of implausible messes he created before a deadline or something. Without simply detailing the movie, let's just say that in every-single-scene you watch after the kidnapping, you find yourself gasping ""what the f**K!,"" baffled by the ongoing nonsense as Sean follows a fairly graphic and gross path towards redemption. In the end, so many loose-ends are left in the movie, that you begin to regret that you even watched it.<br /><br />This is a movie that you should only watch after it hits cable, and you should have enough beer and friends around to mock the film to it's full value. It's supposed to be a psychological thriller, and McKenna is a decent actor, but it's hard to give yourself to the movie when you have ""Norm"" from ""Cheers"" and a Baldwin brother doing the dirty work, and a kidnapping strategy that really makes no damned sense. Guys will love the violence, blood and guts scenes, and the absolutely unnecessary sex scenes and boob shots. Girls will enjoy handsome Sean's gratuitous crotch shot in a mainstream movie, when its almost always the girls that get stripped down in a movie. Personally, I hate that the only actor worth watching for more than his looks (Ron Livingston) is only in the first one-third of the movie.",crappy movie whole lotta non sense many loose end count watched movie one favorite actor ron livingston made cameo continued watching girl love movie includes male nudity change later found wondering much ridiculous storyline could get time got ridiculous sean crawley good looking chris mckenna never seen loved little nude scene making end meet painter meet electrician duke wayne george wendt cheer thinking getting work duke sean agrees meet contractor ray matthew daniel baldwin playing stereotypically evil guy ray investigated city hall accountant ron livingston cameo love office space sex city ray end offering apparently desperate cash sean kill accountant sean accepts job sean stalk accountant whose wife kari wuhrer find attracted completes hit leaf taking file information ray sean quickly learns used ray never intended pay sean us file leverage get money point descent flick generally worth watching soon ray duke crew kidnap sean muscle information file got dumber dumber still dumber finally seemed like film writer charlie higson snapped day writing hangover realized needed desperately figure wrap series implausible mess created deadline something without simply detailing movie let say every single scene watch kidnapping find gasping baffled ongoing nonsense sean follows fairly graphic gross path towards redemption end many loose end left movie begin regret even watched movie watch hit cable enough beer friend around mock film full value supposed psychological thriller mckenna decent actor hard give movie norm cheer baldwin brother dirty work kidnapping strategy really make damned sense guy love violence blood gut scene absolutely unnecessary sex scene boob shot girl enjoy handsome sean gratuitous crotch shot mainstream movie almost always girl get stripped movie personally hate actor worth watching look ron livingston first one third movie,0
"This was an abysmal show. In short it was about this kid called Doug who guilt-tripped a lot. Seriously he could feel guilty over killing a fly then feeling guilty over feeling guilty for killing the fly and so forth. The animation was grating and unpleasant and the jokes cheap. <br /><br />It aired here in Sweden as a part of the ""Disney time"" show and i remember liking it some what but then i turned 13.<br /><br />I never got why some of the characters were green and purple too. What was up with that? <br /><br />Truly a horrible show. Appareantly it spawned a movie which i've never seen but i don't have any great expectations for that one either.",abysmal show short kid called doug guilt tripped lot seriously could feel guilty killing fly feeling guilty feeling guilty killing fly forth animation grating unpleasant joke cheap aired sweden part disney time show remember liking turned never got character green purple truly horrible show appareantly spawned movie never seen great expectation one either,0
"Impressed! This is the worst SRK movie and one of the worst Bollywood movies I ever saw! I didn't like the novel, but this movie made it worse! Very bad music, even worse actors (apart from SRK of course, though even he doesn't manage to save the movie), and not much sense. The director makes it all look very confusing, God knows why... Maybe it's because he's trying to make it all look very surrealistic, and yet credible. Well, he manages neither.<br /><br />Even if you've got a few hours to loose, don't watch this movie, please! (Saying this for your own welfare!) Keep searching, you will find something else to watch!",impressed worst srk movie one worst bollywood movie ever saw like novel movie made worse bad music even worse actor apart srk course though even manage save movie much sense director make look confusing god know maybe trying make look surrealistic yet credible well manages neither even got hour loose watch movie please saying welfare keep searching find something else watch,0
"Bugs life is a good film. But to me, it doesn't really compare to movies like Toy story and stuff. Don't get me wrong, I liked this movie, but it wasn't as good as Toy story. The film has the visuals, the laughs, and others that Toy story had. But the film didn't feel quite as... I don't know, but I thought it was still a pretty good film. <br /><br />A bugs life... I don't want to say this, is a film that I don't remember. I saw it years ago. Of course, I haven't seen Toy story in years, but I still remember it. I shouldn't have reviewed this film, but I am. I am giving it a thumbs up, though it's not exactly the best work Pixar has done.<br /><br />A bug's life:***/****",bug life good film really compare movie like toy story stuff get wrong liked movie good toy story film visuals laugh others toy story film feel quite know thought still pretty good film bug life want say film remember saw year ago course seen toy story year still remember reviewed film giving thumb though exactly best work pixar done bug life,1
"The strong points in the film were clear for the beginning and middle part of the film. It showed how a very violent, reactive authority might react to resistance. Filmed in the fashion of a documentary, the director captures what would have happened if the United States enacted martial law. Volunteering for ""punishment park,"" a training ground for cops where you're bullied and harassed, would offer you an out to this dire scenario. It switches between the court trials for those facing accusations, those who are in the park escaping police attention, the training of officers preparing to handle these prisoners, the judges in their leisure time, among many other things. It was a very strong, deeply moving film.<br /><br />The only fault I had with this was its realism. Officers are often seen holding their pistols like they were seven years old with a plastic toy (i.e. a 90 degree bent elbow when pointing a gun in someone's face, or the way one cop just makes it look like it's hard to kick someone when they're down, etc., etc..). It starts out as an honest and interesting attempt to capture a very critical state of political affairs. By the end of the film, the viewer is slowly reminded again and again of the prejudices of the director and the producers. The antagonist characters in the story start out as genuine, real human beings and then slowly progress into ""stereotypical, objectifiable forces of evil"" by the very end. The mistakes they make are stupid, the force they demonstrate is unreal and unlike the way real police act, the judges during this court hearing are shown making stupid and unreal mistakes, among many other things.<br /><br />The realness of the movie started to fall apart when it became evident that this was just another blank-check attempt to make government look bad. And that's coming from an Anarchist. The scenes at the end started to get hokey, unreal, and a thousand times over-dramatic. Still, for the earlier part of it, it promises some very moving storyline.",strong point film clear beginning middle part film showed violent reactive authority might react resistance filmed fashion documentary director capture would happened united state enacted martial law volunteering punishment park training ground cop bullied harassed would offer dire scenario switch court trial facing accusation park escaping police attention training officer preparing handle prisoner judge leisure time among many thing strong deeply moving film fault realism officer often seen holding pistol like seven year old plastic toy degree bent elbow pointing gun someone face way one cop make look like hard kick someone etc etc start honest interesting attempt capture critical state political affair end film viewer slowly reminded prejudice director producer antagonist character story start genuine real human being slowly progress stereotypical objectifiable force evil end mistake make stupid force demonstrate unreal unlike way real police act judge court hearing shown making stupid unreal mistake among many thing realness movie started fall apart became evident another blank check attempt make government look bad coming anarchist scene end started get hokey unreal thousand time dramatic still earlier part promise moving storyline,1
"What boob at MGM thought it would be a good idea to place the studly Clark Gable in the role of a Salvation Army worker?? Ironically enough, another handsome future star, Cary Grant, also played a Salvation Army guy just two years later in the highly overrated SHE DONE HIM WRONG. I guess in hindsight it's pretty easy to see the folly of these roles, but I still wonder WHO thought that Salvation Army guys are ""HOT"" and who could look at these dashing men and see them as realistic representations of the parts they played. A long time ago, I used to work for a sister organization of the Salvation Army (the Volunteers of America) and I NEVER saw any studly guys working there (and that includes me, unfortunately). Maybe I should have gotten a job with the Salvation Army instead!<br /><br />So, for the extremely curious, this is a good film to look out for, but for everyone else, it's poor writing, sloppy dialog and annoying moralizing make for a very slow film.",boob mgm thought would good idea place studly clark gable role salvation army worker ironically enough another handsome future star cary grant also played salvation army guy two year later highly overrated done wrong guess hindsight pretty easy see folly role still wonder thought salvation army guy hot could look dashing men see realistic representation part played long time ago used work sister organization salvation army volunteer america never saw studly guy working includes unfortunately maybe gotten job salvation army instead extremely curious good film look everyone else poor writing sloppy dialog annoying moralizing make slow film,0
"Although the concept of a 32 year old woman portraying a 12 year old girl might be a stretch for today's <br /><br />sophisticated audiences,in the 1920's this was what the fans of Mary Pickford desired and expected from their favorite star. The opening scene displays Annie's tomboyish character as the apparent leader of a multi-ethnic street gang in comic ""battle"" with a rival group. The sight of a young girl being socked in the jaw and kicked may be a bit crude, but the scene is played in such an ""Our Gang"" fashion that it would be hard to take any of this seriously. Anyway, Annie can dish it out as well as take it. Once Annie returns to her tenement home and replaces her street duds with more girlish attire, it becomes more difficult (especially in close-ups) to imagine this beautiful young woman as a street urchin. However, for those who can muster the required suspension of disbelief, the rest of the movie has it's rewards. Vacillating between comedy (Annie's gang puts on a show) to sentiment (Annie plans a birthday surprise for her Irish policeman father) to tragedy (her father is killed on his birthday), the film gives Mary ample opportunity to display a range of emotions that would please her fans of any era. <br /><br />Of course the requisite ""happy ending"" is eventually achieved; the evildoers are apprehended with the help of Annie's friends and rivals and she is last seen in the company of her pals riding down a busy thoroughfare on a sunny day. Which is a good a way as any for a Mary Pickford movie to end. <br /><br />",although concept year old woman portraying year old girl might stretch today sophisticated audience fan mary pickford desired expected favorite star opening scene display annie tomboyish character apparent leader multi ethnic street gang comic battle rival group sight young girl socked jaw kicked may bit crude scene played gang fashion would hard take seriously anyway annie dish well take annie return tenement home replaces street dud girlish attire becomes difficult especially close ups imagine beautiful young woman street urchin however muster required suspension disbelief rest movie reward vacillating comedy annie gang put show sentiment annie plan birthday surprise irish policeman father tragedy father killed birthday film give mary ample opportunity display range emotion would please fan era course requisite happy ending eventually achieved evildoer apprehended help annie friend rival last seen company pal riding busy thoroughfare sunny day good way mary pickford movie end,1
"The Jaws rip off is the trashiest of the all the Italian 'genres', and director Joe D'Amato is second only to the great Jess Franco in the trash film production stakes. Put the two together and what do you get? A gigantic piece of trash, of course. Unfortunately it's not trash in the good sense of the word either, as Deep Blood delivers more in boredom than it does in hilarity. To the film's credit, it does actually attempt something bordering on a plot; but to take said credit away from the film - the plot is rubbish. It has something to do with a group of friends taking of an oath (of friendship) and then some Indian curse that manifests itself into a shark. Or at least I think that's what was going on. Anyway, the majority of the film is padded out with boring dialogue and 'drama', and the shark itself - which lets not forget, is the only thing we really want to see - finds itself in merely a cameo role. Or not even that since most the shark is actually stock footage! Despite being a trash genre, there are actually a lot of fun Jaws rip-offs; but with this one, Joe D'Amato makes it clear that he couldn't be bothered to even try, and the result is what must be the worst Italian shark movie of all time. Avoid this dross.",jaw rip trashiest italian genre director joe amato second great jess franco trash film production stake put two together get gigantic piece trash course unfortunately trash good sense word either deep blood delivers boredom hilarity film credit actually attempt something bordering plot take said credit away film plot rubbish something group friend taking oath friendship indian curse manifest shark least think going anyway majority film padded boring dialogue drama shark let forget thing really want see find merely cameo role even since shark actually stock footage despite trash genre actually lot fun jaw rip offs one joe amato make clear bothered even try result must worst italian shark movie time avoid dross,0
Bad acting. Bad writing. This was a poorly written film. It's too bad because it had some potential. It's not even close to American Pie or Something about Mary as previous comments might have you believe. Rent it at dollar night from you local video store if you're kind of bored.,bad acting bad writing poorly written film bad potential even close american pie something mary previous comment might believe rent dollar night local video store kind bored,0
"I remembered this show from when i was a kid. i couldn't remember too much about it, just a few minor things about the characters. for some reason i remembered it being really intense. also it was on really really early in the morning up in PA. I finally, after looking around the web for a long time, found an episode. the first episode no-less. Criminey! This show was so horrible. it was obviously just made to show kids playing lazer tag and having a great time. the show opens with bhodi li telling his mommy ""my names not Christopher, I'm bhodi li-PHOTON WARRIOR!!!!!"" we then are forced to watch kids playing lazer tag to the song ""foot loose"". and not just a quick little bit, but the whole song. ahhhhhhhhh my brain hurts just thinking about it. oh yeah, and as if i couldn't get worse, you cant even see the laser beams from their guns. its like they're just running around to the entire ""foot loose"" song. later on, after bhodi goes up into space or where-ever, they have a crappy laser gun fight to the Phil Collins song ""su-su-sudio."" ah, trust me, you don't want to know the rest. what can i say......THE LIGHT SHINES!!!!!!!!!!!",remembered show kid remember much minor thing character reason remembered really intense also really really early morning pa finally looking around web long time found episode first episode less criminey show horrible obviously made show kid playing lazer tag great time show open bhodi li telling mommy name christopher bhodi li photon warrior forced watch kid playing lazer tag song foot loose quick little bit whole song ahhhhhhhhh brain hurt thinking oh yeah get worse cant even see laser beam gun like running around entire foot loose song later bhodi go space ever crappy laser gun fight phil collins song su su sudio ah trust want know rest say light shine,0
"I must say, I found this movie very disappointing. Yes, I know Maltin gave it 3 1/2 and others think very highly of it. But, well, the opera sequences were god-awful. I take it Jeannete MacDonald is an acquired taste. Yes, in the short sequences I have seen her with Nelson Eddy, she is immensely preferable to him. But on her own...God, I dislike opera and despise operetta, and she is basically intolerable. At one point I had to cover my ears. Gable is just OK, and Tracy is thrown away. The plot is annoying in the JM never simply tells Gable she loves him and the opera and why can't she do both? Instead she suffers silently (or not so) with the compromises she makes. The supporting cast is distinctly unmemorable. Besides the star three and Jack Holt (and I suppose his mother), they all are just background and forgettable. The EQ sequence is the only thing that saves the movie. And just. Yes, it is fairly spectacular and moving. But the ""oh God is great"" seems very contrived. I immensely prefer ""In Old Chicago"" as far as old time disaster spectaculars go. Spare yourself on this one.",must say found movie disappointing yes know maltin gave others think highly well opera sequence god awful take jeannete macdonald acquired taste yes short sequence seen nelson eddy immensely preferable god dislike opera despise operetta basically intolerable one point cover ear gable ok tracy thrown away plot annoying jm never simply tell gable love opera instead suffers silently compromise make supporting cast distinctly unmemorable besides star three jack holt suppose mother background forgettable eq sequence thing save movie yes fairly spectacular moving oh god great seems contrived immensely prefer old chicago far old time disaster spectacular go spare one,0
